,1. open,2. high,3. low,4. close,5. volume,BTC_USD_Close
2025-01-28,102063.92000000,103770.85000000,100213.80000000,101290.00000000,9485.46858120,101290.0
2025-01-29,101290.01000000,104829.64000000,101275.60000000,103747.25000000,11401.29813651,103747.25
2025-01-30,103747.25000000,106484.77000000,103289.74000000,104742.64000000,13061.34881233,104742.64
2025-01-31,104742.63000000,106090.00000000,101506.00000000,102411.26000000,13313.68104489,102411.26
2025-02-01,102414.05000000,102781.65000000,100250.00000000,100623.85000000,3390.25555744,100623.85
2025-02-02,100623.88000000,101459.84000000,96179.00000000,97676.52000000,10366.65062753,97676.52
2025-02-03,97676.53000000,102599.85000000,91178.01000000,101460.20000000,31328.72219576,101460.2
2025-02-04,101460.15000000,101812.23000000,96145.76000000,97795.05000000,14168.70316610,97795.05
2025-02-05,97795.06000000,99230.49000000,96161.01000000,96638.33000000,9308.59185883,96638.33
2025-02-06,96635.62000000,99182.15000000,95674.96000000,96564.62000000,9168.94674634,96564.62
2025-02-07,96575.24000000,100235.79000000,95614.96000000,96537.08000000,12171.82534167,96537.08
2025-02-08,96536.93000000,96919.05000000,95682.33000000,96476.25000000,2972.45715184,96476.25
2025-02-09,96476.24000000,97342.28000000,94730.67000000,96475.82000000,3417.87009701,96475.82
2025-02-10,96481.47000000,98367.23000000,95257.20000000,97444.41000000,6375.72539123,97444.41
2025-02-11,97451.66000000,98500.00000000,94831.07000000,95774.08000000,7737.05105717,95774.08
2025-02-12,95770.95000000,98119.98000000,94066.92000000,97862.53000000,9078.50356189,97862.53
2025-02-13,97864.28000000,98100.00000000,95220.00000000,96625.29000000,6803.60789270,96625.29
